TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
1053,0.145794,0.00122106,0.003663,0.0181695,0.128489,0.00979265,0.00136486,-0.0303824,0.030798
1065,0.145794,0.00122106,0.003663,0.023018,0.133919,0.0108715,0.00511984,-0.0358648,0.0363847
1077,0.145794,0.00122106,0.003663,0.0304995,0.135423,0.0109872,-0.00230224,-0.0394916,0.0408363
1089,0.145794,0.00122106,0.003663,0.0351922,0.12869,0.0124684,0.00174938,-0.0456376,0.0456769
1101,0.145794,0.00122106,0.003663,0.0342947,0.113198,0.0146124,-0.00128951,-0.0481303,0.0490135
1113,0.145794,0.00122106,0.003663,0.0446793,0.0909462,0.0175709,0.0023769,-0.0466825,0.0469217
1125,0.145794,0.00122106,0.003663,0.0414793,0.0248026,0.023169,-0.0150399,-0.0520574,0.0531173
1137,0.145794,0.00122106,0.003663,0.0247981,-0.0455367,0.0324352,-0.00832691,-0.0464083,0.0438633
1149,0.145794,0.00122106,0.003663,0.0376834,-0.110308,0.0467786,0.0343685,-0.0288894,0.0271743
1161,0.145794,0.00122106,0.003663,0.0486217,-0.14869,0.0591496,0.110229,-0.0297274,0.0363142
1173,0.145794,0.00122106,0.003663,0.0921731,-0.176007,0.062395,0.0976094,-0.0280191,0.0493593
1185,0.145794,0.00122106,0.003663,0.0525132,-0.191641,0.066526,0.0487108,-0.0580052,0.0775549
1197,0.145794,0.00122106,0.003663,-0.0315486,-0.280121,0.0717495,0.0982693,-0.0338118,0.0432154
1209,0.145794,0.00122106,0.003663,-0.0104354,-0.350112,0.0929972,0.109515,0.0374091,-0.0200771
1221,0.145794,0.00122106,0.003663,0.0175231,-0.381299,0.105923,0.0591909,0.0274745,-0.00778258
1233,0.145794,0.00122106,0.003663,0.0199747,-0.183958,0.0877359,0.0181426,0.00422775,0.00613743
1245,0.145794,0.00122106,0.003663,-0.0113709,0.00083622,0.0579394,-0.0319243,-0.0165102,0.0195349
1257,0.145794,0.00122106,0.003663,-0.00432016,0.0984897,0.0454176,-0.0227322,-0.0120532,0.00537104
1269,0.145794,0.00122106,0.003663,0.0186065,0.086706,0.0471701,0.00529321,-0.0232292,0.0187058
1281,0.145794,0.00122106,0.003663,0.0307603,0.024774,0.0417928,-0.0232222,-0.0358701,0.0371117
1293,0.145794,0.00122106,0.003663,0.0130639,-0.0223731,0.0328831,0.00845794,-0.0414383,0.0371741
1305,0.145794,0.00122106,0.003663,0.0149579,0.0148953,0.0377064,0.0719128,-0.0209817,0.0223857
1317,0.145794,0.00122106,0.003663,0.0199231,0.0482933,0.0462328,0.151678,-0.0197901,0.0336104
1329,0.145794,0.00122106,0.003663,0.0786307,0.0437192,0.0465563,0.123759,-0.0192135,0.0486494
1341,0.145794,0.00122106,0.003663,0.0568233,-0.0647214,0.0495987,0.092453,-0.0630443,0.0880463
1353,0.145794,0.00122106,0.003663,-0.00340876,-0.190185,0.054665,0.113544,-0.0417543,0.0600262
1365,0.145794,0.00122106,0.003663,-0.0340643,-0.326345,0.0735337,0.0820996,0.0130255,0.00795798
1377,0.145794,0.00366306,0.003663,-0.0355622,-0.325349,0.0975422,0.101749,0.0416098,-0.0275841
1389,0.145794,0.00366306,0.003663,0.0482565,-0.151825,0.0934959,-0.0348601,0.0421604,-0.0243077
1401,0.145794,0.00366306,0.003663,0.0392357,0.0904671,0.0587893,-0.0743342,-0.0446974,0.0380518
1413,0.145794,0.00366306,0.003663,0.0443935,0.235382,0.0226208,-0.0674115,-0.0593952,0.045622
1425,0.145794,0.00366306,-0.00183159,0.0533228,0.146448,0.0231339,0.0517591,-0.0706422,0.0597102
1437,0.145794,0.00366306,-0.00183159,0.106923,0.011998,0.0361521,0.0117212,-0.0578532,0.0698345
1449,0.145794,0.00366306,-0.00183159,0.0732891,-0.173106,0.0499781,0.050398,-0.089442,0.0942012
1461,0.145794,0.00366306,0.003663,0.0157753,-0.356197,0.0652816,0.0329391,-0.0480562,0.0581454
1473,0.145794,0.00366306,0.003663,-0.06514,-0.525182,0.106244,0.120421,0.00496232,0.00028311
1485,0.145794,0.00366306,0.003663,-0.0663627,-0.557288,0.131066,0.0905898,0.0810205,-0.0606297
1497,0.145794,0.00366306,0.003663,-0.0266871,-0.356168,0.127795,0.0138396,0.0793034,-0.0647406
1509,0.145794,0.00366306,0.003663,-0.0591281,-0.031681,0.0800751,-0.0990838,0.027027,-0.026043
1521,0.145794,0.00366306,0.003663,-0.0123658,0.254095,0.0267131,-0.0837353,0.0160094,-0.036518
1533,0.145794,0.00366306,0.003663,-0.00590456,0.315103,0.01737,-0.0477421,-0.0346538,0.0186281
1545,0.145794,0.00366306,0.003663,-0.00427424,0.293668,0.00908697,-0.0836387,-0.0400005,0.0312004
1557,0.145794,0.00366306,0.003663,-0.0400224,0.174589,0.00865234,-0.0194525,-0.0420136,0.0262215
1569,0.145794,0.00366306,0.003663,-0.0275542,0.0899789,0.0135023,-0.00204143,-0.00035043,-0.00398828
1581,0.145794,0.00366306,0.003663,-0.0222324,0.0936995,0.022428,0.0165076,-0.00074178,-0.00026803
1593,0.145794,0.00366306,0.003663,-0.0189061,0.188081,0.0236406,0.0426972,-0.00388219,0.00657571
1605,0.145794,0.00366306,0.003663,0.0213929,0.252823,0.0225915,0.0292609,-0.0118311,0.0199262
1617,0.145794,0.00366306,0.003663,0.0211235,0.225849,0.0172176,0.0109641,-0.047011,0.0533699
1629,0.145794,0.00122106,0.003663,0.01995,0.150538,0.0114788,0.00071969,-0.0460202,0.0487517
1641,0.145794,0.00122106,0.003663,0.0187237,0.0558181,0.0182159,-0.00149933,-0.0392243,0.0397188
1653,0.145794,0.00122106,0.003663,0.00282276,-0.0135095,0.0315467,0.0487456,-0.0311727,0.0309489
1665,0.145794,0.00122106,0.003663,0.0322824,-0.041515,0.0460343,0.0451053,-0.0104547,0.0194981
1677,0.145794,0.00122106,0.003663,0.0433416,-0.0641833,0.0576109,0.0749199,-0.0306465,0.0394228
1689,0.145794,0.00122106,0.003663,0.0582843,-0.0483256,0.0521817,0.0904865,-0.0347585,0.0494372
1701,0.145794,0.00122106,0.003663,0.0396206,-0.0864939,0.0492727,0.0869903,-0.044623,0.0625938
1713,0.145794,0.00122106,0.003663,-0.00013997,-0.192134,0.0558437,0.0422809,-0.0282488,0.0451136
1725,0.145794,0.00122106,0.003663,-0.0348524,-0.266667,0.0800721,0.0660573,0.00384062,0.00342197
1737,0.145794,0.00122106,0.003663,-0.015961,-0.260491,0.0885315,0.0351963,0.0346593,-0.023549
1749,0.145794,0.00366306,0.003663,-0.0116666,-0.131663,0.075757,-0.018314,0.0172035,-0.0117122
1761,0.145794,0.00366306,0.003663,-0.0170626,0.0273762,0.0526399,-0.0456484,-0.00074668,-0.00367367
1773,0.145794,0.00366306,0.003663,-0.0125003,0.191096,0.0325304,-0.0155186,-0.0108711,0.00150502
1785,0.145794,0.00366306,0.003663,-0.00233749,0.259025,0.0210772,0.00151142,-0.0231354,0.0201145
1797,0.145794,0.00366306,0.003663,-0.00329619,0.207604,0.0151609,0.0327528,-0.033324,0.0339416
1809,0.145794,0.00122106,0.003663,0.00146122,0.159904,0.0128529,0.0311644,-0.0248993,0.0313771
1821,0.145794,0.00122106,0.003663,-0.0102108,0.113018,0.0159265,0.0553356,-0.0241336,0.0302356
1833,0.145794,0.00122106,0.003663,-0.019494,0.142618,0.022833,0.0716692,-0.00984943,0.0202952
1845,0.145794,0.00122106,0.003663,-0.00514853,0.189576,0.0284064,0.0681039,-0.00489207,0.0184437
1857,0.145794,0.00122106,0.003663,0.0180892,0.241105,0.0263552,0.0345411,-0.0199083,0.0331616
1869,0.145794,0.00122106,0.003663,0.00777823,0.23044,0.0175698,0.00600795,-0.0437704,0.0510731
1881,0.145794,0.00122106,0.003663,0.0135623,0.205259,0.0156453,-0.00899145,-0.0374987,0.0390653
1893,0.145794,0.00122106,0.003663,0.0236933,0.181822,0.0224975,0.00819134,-0.0407143,0.0393988
1905,0.145794,0.00122106,0.003663,0.0274997,0.203195,0.0274528,0.0157116,-0.0448739,0.0469917
1917,0.145794,0.00122106,0.003663,0.0282485,0.210211,0.0293196,0.0587109,-0.0491312,0.0528402
1929,0.145794,0.00122106,0.003663,0.0403638,0.188644,0.0329943,0.106224,-0.0462588,0.0583149
1941,0.145794,0.00122106,0.003663,0.0256808,0.107006,0.0427291,0.147673,-0.0487223,0.070105
1953,0.145794,0.00122106,0.003663,0.0294585,0.00881587,0.0538635,0.159874,-0.0283233,0.0572489
1965,0.145794,0.00122106,0.003663,0.0625657,-0.0633076,0.0742948,0.0895501,-0.0225373,0.0536136
1977,0.145794,0.00122106,0.003663,0.0163215,-0.0987866,0.0842355,0.0685715,-0.0486132,0.0664768
1989,0.145794,0.00122106,0.003663,-0.0182445,-0.132391,0.0903185,0.0569045,-0.0159311,0.0288881
2001,0.145952,0.00122106,0.003663,0.0163076,-0.145161,0.105961,0.0452516,0.00958827,0.00045332
2013,0.145952,0.00122106,0.003663,0.0196412,-0.119226,0.111273,-0.0295784,-0.0164222,0.0247817
2025,0.145952,0.00122106,0.003663,0.0189071,-0.0171886,0.0971181,-0.0556248,-0.0287859,0.0228291
2037,0.145952,0.00122106,0.003663,0.0247206,0.031768,0.0848887,-0.0349273,-0.0381114,0.0273843
2049,0.145952,0.00122106,0.003663,0.0229864,0.0351328,0.0891233,-0.0570842,-0.0431883,0.0366779
2061,0.146032,0.00122106,0.003663,0.0158146,0.00094802,0.0944973,0.0242587,-0.0448418,0.0340407
2073,0.146111,0.00122106,0.003663,0.0520291,-0.0356927,0.0970261,-0.0505877,-0.0295156,0.0342249
2085,0.146111,0.00122106,0.003663,0.0315033,-0.0818134,0.103486,-0.00091776,-0.0595399,0.050283
2097,0.14619,0.00122106,0.003663,-0.00451529,-0.0928815,0.105304,0.0290048,-0.0369331,0.0368103
2109,0.147302,0.00122106,0.003663,0.022265,-0.106946,0.121509,0.0214063,-0.00807869,0.0131166
2121,0.147302,0.00122106,0.003663,0.0221506,-0.100048,0.135337,0.0231628,-0.0283655,0.0323789
2133,0.147302,0.00122106,0.003663,0.0196894,-0.0819028,0.126098,-0.0518608,-0.0301288,0.0345322
2145,0.147381,0.00122106,0.003663,0.0261411,-0.0675585,0.121202,0.0281667,-0.0363886,0.0262903
2157,0.147381,0.00122106,0.003663,0.0426766,-0.0838394,0.119958,-0.0423895,-0.0339677,0.0394741
2169,0.14746,0.00122106,0.003663,0.0600088,-0.0881117,0.118305,-0.0343236,-0.0510806,0.0431788
2181,0.148571,0.00122106,0.003663,0.0627895,-0.0800811,0.128884,-0.108827,-0.0624986,0.0564399
