TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
461,0.199603,-0.0196061,-0.00695971,0.0230037,-0.0148665,-0.0569784,0.207628,0.158942,-0.0146888,0.0466107
470,0.199683,-0.0195821,-0.00927961,0.0230037,-0.0159507,0.00563846,0.216976,0.088987,-0.0358393,0.0515262
478,0.199683,-0.0195763,-0.00927961,0.0230037,-0.0165581,0.00097689,0.224736,0.146597,-0.0283999,0.057626
486,0.199683,-0.0195739,-0.00695971,0.0230037,-0.0181632,0.0322861,0.232068,0.154827,-0.0320923,0.0633573
494,0.199683,-0.0195728,-0.00695971,0.0230037,-0.0183181,0.0185635,0.239804,0.142482,-0.031748,0.0600484
502,0.199683,-0.0195724,-0.00927961,0.0230037,-0.019111,0.0273567,0.25126,0.128594,-0.0361536,0.0612084
510,0.199683,-0.0195722,-0.00927961,0.0230037,-0.0197396,0.00417523,0.254071,0.0931022,-0.0350509,0.051641
518,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0207635,0.0350838,0.275736,0.146083,-0.0366489,0.0658296
526,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0208301,-0.0004882,0.28309,0.115734,-0.0340381,0.0559259
533,0.199683,-0.019572,-0.00695971,0.0230037,-0.0225445,-0.00182137,0.285587,0.083329,-0.0352637,0.0494836
542,0.199683,-0.019572,-0.00695971,0.0230037,-0.0230637,0.0164313,0.305195,0.121907,-0.0368127,0.0601886
550,0.199683,-0.019572,-0.00695971,0.0230037,-0.0233364,-0.014611,0.309651,0.135281,-0.0291895,0.0555836
558,0.199683,-0.019572,-0.00695971,0.0230037,-0.0242462,-0.0182087,0.31926,0.121907,-0.0301433,0.0533588
566,0.199683,-0.019572,-0.00695971,0.0230037,-0.0249462,-0.00355264,0.326965,0.0750988,-0.0387809,0.0510221
574,0.199683,-0.019572,-0.00695971,0.0230037,-0.0251173,-0.0115465,0.335497,0.0236613,-0.0443084,0.0444017
582,0.199683,-0.019572,-0.00695971,0.0230037,-0.0252476,-0.0648388,0.342072,0.0540093,-0.0307138,0.0377347
590,0.199683,-0.019572,-0.00695971,0.0230037,-0.0259678,-0.115068,0.351654,0.0740695,-0.0185071,0.0300352
598,0.199683,-0.019572,-0.00695971,0.0230037,-0.0268847,-0.12999,0.352913,0.0457792,-0.0175363,0.0223239
605,0.199683,-0.019572,-0.00695971,0.0230037,-0.0279564,-0.138516,0.356154,0.0205752,-0.0175851,0.0163832
614,0.199683,-0.019572,-0.00695971,0.0230037,-0.029128,-0.111737,0.353477,0.0550382,-0.0167119,0.0237143
622,0.199683,-0.019572,-0.00695971,0.0230037,-0.0299489,-0.110671,0.354819,0.0478368,-0.016693,0.0219891
630,0.199683,-0.019572,-0.00927961,0.0230037,-0.0309325,-0.140647,0.34904,0.0195463,-0.0117763,0.0102676
638,0.199683,-0.019572,-0.00927961,0.0230037,-0.0321949,-0.126392,0.34672,-0.0406357,-0.0193873,0.00374025
646,0.199603,-0.019596,-0.00695971,0.0230037,-0.0330831,-0.100678,0.340359,-0.0252045,-0.0200554,0.00813028
654,0.199603,-0.0196017,-0.00695971,0.0230037,-0.0339497,-0.0950828,0.339183,-0.0267475,-0.0198244,0.00754279
662,0.199603,-0.0196042,-0.00927961,0.0230037,-0.0346611,-0.0770965,0.335869,0.0159456,-0.0171928,0.0150265
670,0.199603,-0.0196053,-0.00927961,0.0230037,-0.0351324,-0.077629,0.335008,-0.00205741,-0.0183159,0.0118988
677,0.199603,-0.0196057,-0.00927961,0.0230037,-0.0358236,-0.092951,0.328646,0.0118309,-0.0114274,0.00820388
686,0.199603,-0.0196059,-0.00927961,0.0230037,-0.0366619,-0.105076,0.323844,0.0159458,-0.00636062,0.00403983
694,0.199603,-0.019606,-0.00927961,0.0230037,-0.0375576,-0.0684374,0.321692,0.0046294,-0.0134052,0.00855295
702,0.199683,-0.0195821,-0.00927961,0.0230037,-0.0380951,-0.043256,0.320291,0.0113161,-0.0166388,0.0134541
710,0.199683,-0.0195763,-0.00927961,0.0230037,-0.0384295,-0.0263356,0.317532,-0.0108023,-0.0217094,0.0133783
718,0.199683,-0.0195739,-0.00695971,0.0230037,-0.0386368,-0.0503166,0.313009,0.0303482,-0.0105301,0.0117861
726,0.199683,-0.0195728,-0.00695971,0.0230037,-0.0390272,-0.0551131,0.308865,0.0118304,-0.0104353,0.00730224
734,0.199683,-0.0195724,-0.00695971,0.0230037,-0.0393892,-0.0504499,0.302624,-0.0344631,-0.0152445,0.00121986
742,0.199683,-0.0195722,-0.00695971,0.0230037,-0.0397974,-0.03393,0.302303,0.0385782,-0.00933117,0.0125688
749,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0399514,0.0124344,0.298578,0.0529807,-0.0162604,0.0230767
758,0.199683,-0.0195721,-0.00927961,0.0230037,-0.0397454,0.0162984,0.298416,0.0133736,-0.022383,0.0198917
766,0.199683,-0.019572,-0.00927961,0.0230037,-0.0396515,-0.00195442,0.293992,0.0128594,-0.0181465,0.0154596
774,0.199683,-0.019572,-0.00695971,0.0230037,-0.039673,-0.0107472,0.293924,0.033949,-0.0134493,0.0156921
