TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
1430,0.135079,0.0119906,-0.00549451,0.0230037,0.0232875,0.134209,0.109188,0.0318915,-0.0687641,0.071549
1446,0.135079,0.0119906,-0.00549451,0.0230037,0.02333,-0.145177,0.105192,-0.0272615,-0.0240032,0.0114927
1462,0.135079,0.0119906,-0.00549451,0.0230037,0.0208711,-0.114935,0.0965658,0.0267479,-0.016943,0.0176334
1478,0.135079,0.0119906,-0.00549451,0.0230037,0.0198909,0.0909072,0.101873,0.00823,-0.056473,0.0533091
1494,0.135079,0.0119906,-0.00549451,0.0230037,0.0218561,0.112224,0.122652,0.0884725,-0.0587,0.0751621
1510,0.135079,0.0119906,-0.00549451,0.0230037,0.021811,-0.18368,0.114485,-0.00205741,-0.0136088,0.00708565
1526,0.135079,0.0119906,-0.00549451,0.0230037,0.0192504,-0.120398,0.106672,0.0401211,-0.0140512,0.0179558
1541,0.135079,0.0119906,-0.00549451,0.0230037,0.0188185,0.0947719,0.115566,0.0411498,-0.054647,0.059492
1558,0.135079,0.0119906,-0.00549451,0.0230037,0.0205541,0.0257563,0.137894,0.0483512,-0.0492206,0.0556248
1574,0.135079,0.0119906,-0.00549451,0.0230037,0.0193486,-0.145576,0.136797,-0.0180024,-0.0237362,0.0134241
1590,0.135079,0.0119906,-0.00549451,0.0230037,0.0171881,-0.120931,0.12321,0.0956732,-0.00772762,0.0251196
1606,0.135079,0.0119906,-0.00549451,0.0230037,0.0165531,0.152727,0.140519,0.00822998,-0.0714057,0.0683991
1622,0.135079,0.0119906,-0.00549451,0.0230037,0.0183486,0.0433432,0.159794,0.0668688,-0.0517326,0.0626706
1638,0.135079,0.0119906,-0.00549451,0.0230037,0.017057,-0.232841,0.147869,0.0267476,-0.0012119,0.00147436
1654,0.135079,0.0119906,-0.00549451,0.0230037,0.0135374,-0.0836277,0.139517,0.0694403,-0.0156133,0.0266918
1670,0.135079,0.0119906,-0.00549451,0.0230037,0.0132154,0.200957,0.160972,-0.0473217,-0.0863328,0.0699196
1685,0.135079,0.0119906,-0.00549451,0.0230037,0.0156353,0.00537063,0.174314,0.0169747,-0.0498378,0.0484756
1702,0.135079,0.0119906,-0.00549451,0.0306715,0.014137,-0.27281,0.163889,0.0756129,0.0120966,-0.00197968
1718,0.135079,0.0119906,-0.003663,0.0230037,0.0106684,-0.102947,0.156211,0.0457795,-0.0137693,0.0189885
1734,0.135079,0.0119906,-0.003663,0.0230037,0.0107442,0.16019,0.171176,-0.0144024,-0.0728207,0.0642505
1750,0.135079,0.0119906,-0.003663,0.0230037,0.0130736,0.00124076,0.19135,0.0550379,-0.0438545,0.0517051
1766,0.135079,0.0119906,-0.003663,0.0230037,0.0120783,-0.17555,0.188529,0.0498945,-0.00987519,0.015888
1782,0.135079,0.0119906,-0.003663,0.0230037,0.00866712,-0.112142,0.174462,-0.0226326,-0.0214201,0.00993755
1798,0.135079,0.0119906,-0.00549451,0.0306715,0.00832476,0.174177,0.183832,0.0267475,-0.0707692,0.0703576
1814,0.135079,0.0119906,-0.00549451,0.0306715,0.0108936,-0.00782152,0.206636,0.0550378,-0.0435946,0.049521
1829,0.135079,0.0119906,-0.00549451,0.0306715,0.00989837,-0.254154,0.196939,0.0246896,0.00165027,-0.00392026
1846,0.135079,0.0119906,-0.00549451,0.0306715,0.00632292,-0.087095,0.172355,0.0401214,-0.0154256,0.0173924
1862,0.135079,0.0119906,-0.00549451,0.0230037,0.00769262,0.189234,0.194413,0.0349774,-0.0730442,0.076542
1878,0.135079,0.0119906,-0.00732601,0.0230037,0.00994405,-0.0528517,0.213811,0.02469,-0.0386833,0.0389334
1894,0.135079,0.0119906,-0.00732601,0.0306715,0.00849474,-0.259084,0.210817,0.0118303,-0.00040989,-0.00502281
1910,0.135079,0.0119906,-0.00732601,0.0306715,0.00457325,-0.164501,0.187432,0.0354918,-0.00295369,0.00352119
1926,0.135079,0.0119906,-0.00732601,0.0306715,0.00436769,0.172712,0.209475,0.0200607,-0.0713147,0.0692178
1942,0.135079,0.0119906,-0.00549451,0.0230037,0.00738716,-0.0198106,0.232783,0.0504088,-0.0414569,0.0480368
1958,0.135079,0.0119906,-0.00549451,0.0230037,0.00614014,-0.25855,0.224964,0.0339484,0.0040559,-0.00227214
1973,0.135079,0.0119906,-0.00549451,0.0230037,0.00216508,-0.169165,0.20038,0.0488657,0.00176887,0.00386968
1990,0.135079,0.0119906,-0.00549451,0.0230037,0.00183713,0.165918,0.214044,0.0159455,-0.0661615,0.0648701
2006,0.135079,0.0119906,-0.003663,0.0230037,0.00398101,0.0118989,0.232424,-0.0216037,-0.049939,0.0390487
2022,0.135079,0.0119906,-0.003663,0.0230037,0.00307604,-0.248028,0.223766,-0.0169749,0.00164868,-0.0122674
2038,0.135079,0.0119906,-0.003663,0.0230037,0.00048183,-0.123599,0.206973,-0.0221181,-0.013559,0.00204916
2054,0.135079,0.0119906,-0.003663,0.0230037,0.00090445,0.184305,0.226892,0.0519519,-0.0662153,0.0737323
2070,0.135079,0.0119906,-0.0018315,0.0306715,0.00329593,-0.0180774,0.247903,0.0735556,-0.035918,0.0462112
2086,0.135079,0.0119906,-0.0018315,0.0306715,0.001576,-0.252156,0.23593,0.0370353,0.00805111,-0.00742769
2102,0.135079,0.0119906,0.00183159,0.0306715,-0.00193813,-0.152511,0.212406,0.0226327,0.00018707,-0.00280334
2117,0.135079,0.0119906,0.00183159,0.0306715,-0.00159076,0.184971,0.227194,0.0210895,-0.0657344,0.0638406
2134,0.135079,0.0119906,0.00183159,0.0306715,0.00148917,0.0055024,0.245753,0.0102878,-0.0436068,0.0385542
2150,0.135079,0.0119906,0.00183159,0.0383394,-0.0005158,-0.230175,0.23822,0.0416649,0.00739286,-0.00746899
2166,0.135079,0.0119906,0.00183159,0.0383394,-0.00430108,-0.0748376,0.218291,0.00514422,-0.0146006,0.00608037
2182,0.135079,0.0119906,0.0311356,0.0383394,-0.00351827,0.249588,0.228209,0.0848712,-0.0609554,0.0728898
2198,0.135079,0.0119906,0.0824177,0.0383394,0.00044719,0.141399,0.245925,0.0180032,-0.0478816,0.0432492
2214,0.135079,0.0119906,0.10989,0.0383394,0.00063544,-0.176883,0.224748,-0.0138878,0.0175412,-0.0309675
2230,0.135079,0.0119906,0.10989,0.0383394,-0.00119949,0.0813137,0.203229,-0.0262331,-0.0231244,0.00749718
2246,0.135079,0.0119906,0.106227,0.0383394,0.00190953,0.395349,0.217139,0.0426933,-0.0813517,0.083559
2261,0.135079,0.0119906,0.106227,0.0383394,0.00794401,0.165775,0.242568,0.0709839,-0.0517398,0.0601833
2278,0.135079,0.0119906,0.0805861,0.0383394,0.00869166,-0.104542,0.249796,0.00411537,-0.0193718,0.0106893
2294,0.135079,0.0119906,0.0805861,0.0383394,0.00732709,-0.0577806,0.231928,-0.0144022,-0.023755,0.0106944
2310,0.135079,0.0119906,0.148352,0.0383394,0.00783379,0.218945,0.241741,0.0668686,-0.0517033,0.0593077
2326,0.135079,0.0119906,0.177656,0.0383394,0.0114941,0.196959,0.251535,0.0267476,-0.0539412,0.0517632
2342,0.135079,0.0119906,0.201465,0.0383394,0.0137984,-0.0996149,0.238132,0.0164603,0.00400676,-0.00961843
2358,0.135079,0.0119906,0.203297,0.0383394,0.0131469,0.0204293,0.221085,-0.0097731,-0.0156356,0.00401553
2374,0.135079,0.0119906,0.225275,0.0383394,0.0166311,0.35138,0.243181,0.0622397,-0.0730962,0.0801186
2390,0.135079,0.0119906,0.25641,0.0383394,0.0225758,0.155781,0.274173,0.0252044,-0.0514842,0.0489517
2405,0.135079,0.0119906,0.25641,0.0383394,0.022175,-0.0917494,0.260909,0.00874466,-0.00446487,-0.00288039
2422,0.135079,0.0119906,0.25641,0.0383394,0.0214611,0.0314855,0.233275,-0.00257178,-0.0207228,0.0110064
2438,0.135079,0.0119906,0.254579,0.0536752,0.0237222,0.334861,0.259572,0.0704695,-0.0794595,0.0848024
2454,0.135079,0.0119906,0.227106,0.0536752,0.0286518,0.163379,0.30098,0.0792131,-0.0712375,0.0782399
2470,0.135079,0.0119906,0.228938,0.0536752,0.0268327,-0.200864,0.287986,0.0360062,-0.00345268,-0.00126409
2486,0.135079,0.0119906,0.285714,0.0536752,0.0234898,-0.132258,0.26335,0.0617253,0.0116744,-0.00997643
2502,0.135079,0.0119906,0.32967,0.0536752,0.0230401,0.287825,0.269891,0.0586387,-0.0559893,0.0582796
2518,0.135079,0.0119906,0.388278,0.0536752,0.0284405,0.308474,0.29233,0.0457794,-0.0616363,0.0609378
2534,0.135079,0.0119906,0.437729,0.0536752,0.031515,-0.00115963,0.284876,0.0699551,0.00625095,-0.00203215
2549,0.135079,0.0119906,0.437729,0.0536752,0.03109,0.0174974,0.245547,0.0221185,0.00694958,-0.0143235
2566,0.135079,0.0119906,0.558608,0.0536752,0.0336253,0.436253,0.24345,0.0514378,-0.0413229,0.0424503
2582,0.135079,0.0119906,0.710623,0.0536752,0.0420381,0.601985,0.261793,0.00514416,-0.0595853,0.0500841
2598,0.135079,0.0119906,0.822344,0.0536752,0.0507694,0.400384,0.245595,0.079728,0.00212196,0.00597897
2614,0.135079,0.0119906,0.983517,0.0536752,0.0564798,0.474217,0.198372,-0.00102997,0.0184083,-0.0296724
