TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
1053,0.138175,0.00122106,0.003663,-0.0001272,0.0788327,0.00600635,0.00964348,-0.00404159,0.00556347
1065,0.138175,0.00122106,0.003663,-0.00031442,0.116959,0.00891099,0.0003192,-0.0133093,0.0148649
1077,0.138175,0.00122106,0.003663,-0.00307244,0.134838,0.0102748,-0.00494113,-0.0175189,0.0173847
1089,0.138175,0.00122106,0.003663,-0.00178277,0.126064,0.00960772,-0.00383462,-0.0177307,0.0165893
1101,0.138175,0.00122106,-0.00183159,0.00108291,0.109225,0.00898953,-0.00219763,-0.0171919,0.017321
1113,0.138175,0.00122106,-0.00183159,0.00864028,0.114971,0.0100914,-0.00437374,-0.0175653,0.0180073
1125,0.138175,0.00122106,0.003663,0.0202034,0.146049,0.0124589,-0.00581304,-0.0241254,0.0232252
1137,0.138175,0.00122106,0.003663,0.0227529,0.177745,0.0135461,-6.59e-05,-0.0350688,0.034172
1149,0.138175,0.00122106,0.003663,0.0242116,0.177166,0.014832,0.00046625,-0.0389995,0.039349
1161,0.138175,0.00122106,0.003663,0.0278338,0.152421,0.0169357,-0.00639148,-0.0400347,0.0405117
1173,0.138175,0.00122106,0.003663,0.0343744,0.112454,0.01921,-0.0168731,-0.0413692,0.0405117
1185,0.138175,0.00122106,0.003663,0.0356627,0.0760552,0.0270721,-0.0326197,-0.0438354,0.0409463
1197,0.138175,0.00122106,0.003663,0.0337736,0.0674246,0.0363877,0.0199513,-0.0440147,0.0380132
1209,0.138175,0.00122106,0.003663,0.0504361,0.0175385,0.0458853,0.033643,-0.0377855,0.041914
1221,0.138175,0.00122106,0.003663,0.0349015,-0.0490588,0.0574341,0.0557827,-0.0447905,0.051712
1233,0.138175,0.00122106,0.003663,0.0445291,-0.0458897,0.0623341,0.0684463,-0.0275008,0.0382846
1245,0.138175,0.00122106,0.003663,0.0321732,-0.0677646,0.0639947,0.0778043,-0.0336725,0.0470803
1257,0.138175,0.00122106,0.003663,0.0316285,-0.0871193,0.0744825,0.0794508,-0.0225617,0.0375197
1269,0.138175,0.00122106,0.003663,0.0231653,-0.090064,0.0835677,0.0894767,-0.0214437,0.0366777
1281,0.138175,0.00122106,0.003663,0.0169141,-0.099548,0.0855111,0.0614261,-0.0152482,0.0322949
1293,0.138175,0.00122106,0.003663,0.0069697,-0.0879416,0.0850659,0.0598059,-0.0130533,0.0245517
1305,0.138175,0.00122106,0.003663,0.0205372,-0.0690707,0.0891604,0.0554113,-0.00724172,0.0182986
1317,0.138175,0.00122106,0.003663,-0.0005575,-0.0005674,0.0850775,0.0648159,-0.0190193,0.0295089
1329,0.138175,0.00122106,0.003663,-0.0115992,0.0279575,0.0806004,0.0691995,-0.00876372,0.02092
1341,0.138175,0.00122106,0.003663,0.0653277,0.08291,0.0821233,0.0431202,-0.00261493,0.0155132
1353,0.138175,0.00122106,0.003663,0.0297615,0.109305,0.0755013,0.0064839,-0.0630995,0.0723601
1365,0.138175,0.00122106,0.003663,0.0147854,0.141875,0.0600332,0.0579805,-0.0435763,0.0452399
1377,0.138175,0.00122106,0.003663,0.0134871,0.0446606,0.0758747,0.149735,-0.0293886,0.040829
1389,0.138175,0.00122106,0.003663,0.0787302,0.0249821,0.0936578,0.0833245,-0.013072,0.0419869
1401,0.138175,0.00122106,0.003663,0.0920418,0.0100226,0.0918729,0.0252681,-0.0648023,0.0819111
1413,0.138175,0.00122106,0.003663,0.0220186,-0.0477025,0.0927912,0.0627061,-0.0782552,0.0843059
1425,0.138175,0.00122106,0.003663,0.00597014,-0.158447,0.106947,0.118647,-0.0214538,0.0334473
1437,0.138175,0.00122106,0.003663,0.0477371,-0.289281,0.141514,0.0756308,0.00287373,0.0193881
1449,0.138175,0.00122106,0.003663,0.0677921,-0.22268,0.148607,0.00498405,-0.0227733,0.0370881
1461,0.138175,0.00122106,0.003663,0.0449177,-0.146421,0.131827,-0.0303602,-0.0497208,0.0509062
1473,0.138175,0.00122106,0.003663,0.0121277,-0.162237,0.129281,0.00758475,-0.0419929,0.0361586
1485,0.138175,0.00122106,0.003663,0.0194546,-0.189308,0.148479,0.0508927,-0.0140465,0.0149685
1497,0.138175,0.00122106,0.003663,0.0239345,-0.218621,0.156894,-0.0160338,-0.0145348,0.0239123
1509,0.138175,0.00122106,0.003663,0.0238078,-0.162921,0.145193,-0.0347133,-0.0225404,0.0189822
1521,0.138175,0.00122106,0.003663,0.013188,-0.177393,0.135445,-0.0236695,-0.0277355,0.0206991
1533,0.138175,0.00122106,0.003663,0.0138875,-0.089415,0.134826,0.0693328,-0.0171665,0.0120314
1545,0.138175,0.00122106,0.003663,0.0376106,-0.0601169,0.141043,0.0581233,-0.0158152,0.0289277
1557,0.138175,0.00122106,0.003663,0.0583272,-0.00123397,0.140883,0.0179043,-0.0363545,0.0477807
1569,0.138175,0.00122106,0.003663,0.0206233,-0.0942774,0.132471,-0.0119334,-0.0594587,0.0636124
1581,0.138175,0.00122106,0.003663,-0.00754879,-0.13915,0.135026,0.067657,-0.0277517,0.0252397
1593,0.138175,0.00122106,0.003663,0.0114778,-0.223002,0.152561,0.0741475,0.0029532,0.00934568
1605,0.138175,0.00122106,0.003663,0.0309123,-0.140972,0.160815,0.058464,-0.00436288,0.0180196
1617,0.138175,0.00122106,0.003663,0.0557683,-0.0321577,0.15449,-0.0370345,-0.0269231,0.0381156
1629,0.138175,0.00122106,0.003663,0.049603,-0.00985263,0.138909,0.0082596,-0.0617963,0.0552249
1641,0.138175,0.00122106,0.003663,0.0111055,-0.0736152,0.140687,0.0187265,-0.0534527,0.0555713
1653,0.138175,0.00122106,0.003663,-0.0203024,-0.199315,0.153707,0.0420542,-0.0206854,0.0240254
1665,0.138175,0.00122106,0.003663,0.0176077,-0.24841,0.167917,-0.021881,0.0124502,-0.00544215
1677,0.138175,0.00122106,0.00549451,0.0360213,-0.212573,0.176638,0.0201551,-0.0175161,0.0123082
1689,0.138175,0.00122106,0.00549451,0.0234505,-0.0641512,0.158045,0.00499339,-0.0299844,0.0333246
1701,0.138175,0.00122106,0.00549451,0.0321157,-0.00951334,0.155547,0.0414309,-0.0332137,0.0338079
1713,0.138175,0.00122106,0.00549451,0.0321605,-0.0458123,0.15544,0.00347581,-0.0399413,0.0478737
1725,0.138175,0.00122106,0.00549451,0.0410126,-0.0952317,0.158986,-0.0565725,-0.040654,0.0411428
1737,0.138175,0.00122106,0.00549451,0.00515119,-0.225465,0.155718,-0.0100297,-0.0488836,0.037769
1749,0.138175,0.00122106,0.00549451,-0.0165019,-0.260353,0.1597,0.0368554,-0.00845046,0.00537317
1761,0.138175,0.00122106,0.00549451,-0.00371584,-0.261344,0.174909,0.0655503,0.0135965,-0.00804995
1773,0.138175,0.00122106,0.00549451,-0.0207219,-0.179862,0.177805,0.0392792,0.00613994,0.00519149
1785,0.138175,0.00122106,0.00549451,-0.0076999,0.0156494,0.159468,-0.0493419,0.00834511,-0.00212718
1797,0.138175,0.00122106,0.00549451,-0.0142967,0.0644566,0.139916,0.00215952,-0.0236633,0.0134806
1809,0.138175,0.00122106,0.003663,-0.00284384,0.208039,0.119604,-0.0260447,-0.0160433,0.0161662
1821,0.138175,0.00122106,0.00549451,0.0197163,0.20138,0.109116,0.00151008,-0.036785,0.0316563
1833,0.138175,0.00122106,0.00549451,0.0467816,0.20271,0.112533,-0.0505338,-0.0481558,0.0486784
1845,0.138175,0.00122106,0.00549451,0.0396196,0.173149,0.107629,-0.0498051,-0.0723976,0.0633051
1857,0.138175,0.00122106,0.00549451,0.018602,0.0336629,0.114945,-0.00019737,-0.0644493,0.0552862
1869,0.138175,0.00122106,0.00549451,0.0206155,-0.0951184,0.13903,0.0423623,-0.0342584,0.033961
1881,0.138175,0.00122106,0.00549451,0.0124487,-0.21336,0.155294,0.0178094,-0.0232114,0.0308558
1893,0.138175,0.00122106,0.00549451,0.018578,-0.159636,0.159396,-0.0232152,-0.0117544,0.0142123
1905,0.138175,0.00122106,0.00549451,0.0239979,-0.176828,0.162078,0.0325925,-0.0248253,0.0196133
1917,0.138175,0.00122106,0.00549451,-0.0134293,-0.110965,0.16045,0.0329473,-0.0219901,0.0276131
1929,0.138175,0.00122106,0.00549451,0.00970687,-0.0930977,0.159149,0.0228357,-0.00132714,0.00660053
1941,0.138175,0.00122106,0.00549451,-0.00854176,-0.113453,0.156936,0.00123492,-0.0196787,0.0234196
1953,0.138175,0.00122106,0.00549451,-0.0142585,-0.0409023,0.145845,-0.0235364,-0.00724826,0.00645382
1965,0.138175,0.00122106,0.003663,-0.0298335,-0.0367197,0.144162,0.046704,-0.0104391,0.00530221
1977,0.138175,0.00122106,0.003663,-0.0186662,0.0534227,0.138399,0.0254671,0.00699327,0.0012089
1989,0.138175,0.00122106,0.003663,-0.0008237,0.135147,0.133986,0.0178918,-0.00969232,0.0142164
2001,0.138175,0.00122106,0.00549451,0.0276872,0.248967,0.118066,-0.0857766,-0.0292844,0.0325044
2013,0.138175,0.00122106,0.00549451,0.0800386,0.291648,0.0967206,-0.0450568,-0.0669645,0.0508939
